Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\STM32F103RCT6_MCU_LAB - VER2\Project Outputs\Pick Place for STM32F103RCT6_MCU_LAB_2.csv

========================================================================================================================
File Design Information:

Date:       11/03/24
Time:       12:06
Revision:   e5d64dc77c4628bb5d933a56fb395f82280121d1
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"U2","12.8270mm","5.5440mm","TopLayer","180"
"USB","4.7135mm","15.9160mm","TopLayer","270"
"WKUP","86.4650mm","7.7110mm","TopLayer","270"
"RST","7.1120mm","30.7340mm","TopLayer","90"
"BTN3","74.4000mm","7.7110mm","TopLayer","270"
"BTN2","62.3570mm","7.7470mm","TopLayer","270"
"BTN1","50.2700mm","7.7110mm","TopLayer","270"
"PA1","85.4710mm","61.9760mm","TopLayer","0"
"X3","13.2920mm","11.3640mm","TopLayer","0"
"X2","22.3990mm","22.3320mm","TopLayer","180"
"9-12VDC","5.5920mm","55.8670mm","TopLayer","270"
"U","5.5880mm","39.1160mm","TopLayer","0"
"FB3","17.9152mm","22.6908mm","TopLayer","270"
"FB2","19.3801mm","22.6983mm","TopLayer","270"
"R50","64.6700mm","45.9140mm","TopLayer","180"
"REXT","25.4900mm","22.3980mm","TopLayer","90"
"R2","14.2840mm","19.5310mm","TopLayer","270"
"USB_LED","16.2383mm","15.1620mm","TopLayer","270"
"R23","74.9300mm","58.9300mm","TopLayer","270"
"R55","64.6691mm","36.3820mm","TopLayer","180"
"R51","65.1510mm","25.1460mm","TopLayer","180"
"R47","65.1430mm","17.5260mm","TopLayer","180"
"R63","64.6700mm","38.2940mm","TopLayer","180"
"R45","65.1430mm","19.4310mm","TopLayer","180"
"R60","91.1289mm","34.4979mm","TopLayer","90"
"R42","78.4860mm","16.8800mm","TopLayer","270"
"R57","91.6860mm","21.3723mm","TopLayer","0"
"R53","91.6860mm","19.4673mm","TopLayer","0"
"R49","91.6860mm","17.5623mm","TopLayer","0"
"R62","64.6700mm","40.1990mm","TopLayer","180"
"R44","65.1430mm","21.3360mm","TopLayer","180"
"R59","89.2239mm","34.4979mm","TopLayer","90"
"R41","76.5810mm","16.8800mm","TopLayer","270"
"R54","64.6700mm","44.0090mm","TopLayer","180"
"R46","65.1430mm","15.6210mm","TopLayer","180"
"R61","64.6700mm","42.1040mm","TopLayer","180"
"R43","65.1430mm","23.2410mm","TopLayer","180"
"R58","87.3189mm","34.4979mm","TopLayer","90"
"R40","74.6760mm","16.8800mm","TopLayer","270"
"R56","74.0542mm","33.8907mm","TopLayer","180"
"R52","74.0589mm","31.9690mm","TopLayer","180"
"R48","74.0589mm","30.0640mm","TopLayer","180"
"R35","85.7250mm","52.1970mm","TopLayer","180"
"R30","72.3790mm","52.1970mm","TopLayer","180"
"R34","53.3400mm","28.7020mm","TopLayer","180"
"R29","40.3488mm","28.7654mm","TopLayer","180"
"R39","64.6700mm","51.6290mm","TopLayer","180"
"R36","64.6700mm","57.3440mm","TopLayer","180"
"R38","64.6700mm","53.5340mm","TopLayer","180"
"R31","64.6700mm","59.2490mm","TopLayer","180"
"R37","64.6700mm","55.4390mm","TopLayer","180"
"R33","64.6700mm","49.7240mm","TopLayer","180"
"R32","64.6700mm","47.8190mm","TopLayer","180"
"R20","33.9024mm","7.3693mm","TopLayer","0"
"R19","33.8980mm","9.2710mm","TopLayer","0"
"R21","33.9090mm","5.4610mm","TopLayer","0"
"R18","33.8980mm","11.1760mm","TopLayer","0"
"R22","76.8350mm","58.9190mm","TopLayer","90"
"R14","43.5610mm","51.9430mm","TopLayer","0"
"R13","43.5610mm","50.0380mm","TopLayer","0"
